Date,Age Range,Age Range Category,Total Births
1990,15 to 19,15 to 29 years old,30.1
2008,15 to 19,15 to 29 years old,23.1
1990,20 to 24,15 to 29 years old,51.8
2008,20 to 24,15 to 29 years old,46.8
1990,25 to 29,15 to 29 years old,46.2
2008,25 to 29,15 to 29 years old,42.7
1990,30 to 34,30 to 44 years old,21.9
2008,30 to 34,30 to 44 years old,27.6
1990,35 to 39,30 to 44 years old,6.5
2008,35 to 39,30 to 44 years old,9.5
1990,40 to 44,30 to 44 years old,1.2
2008,40 to 44,30 to 44 years old,3.5
