Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","188","Costa Rica","664","Food supply (kcal/capita/day)","S2511","Wheat and products","2021","2021","kcal/cap/d","376.6","E","Estimated value"
"FBS","Food Balances (2010-)","188","Costa Rica","664","Food supply (kcal/capita/day)","S2807","Rice and products","2021","2021","kcal/cap/d","409.13","E","Estimated value"
"FBS","Food Balances (2010-)","188","Costa Rica","664","Food supply (kcal/capita/day)","S2513","Barley and products","2021","2021","kcal/cap/d","9.58","E","Estimated value"
"FBS","Food Balances (2010-)","188","Costa Rica","664","Food supply (kcal/capita/day)","S2514","Maize and products","2021","2021","kcal/cap/d","166.87","E","Estimated value"
"FBS","Food Balances (2010-)","188","Costa Rica","664","Food supply (kcal/capita/day)","S2516","Oats","2021","2021","kcal/cap/d","8.8","E","Estimated value"
"FBS","Food Balances (2010-)","188","Costa Rica","664","Food supply (kcal/capita/day)","S2520","Cereals, Other","2021","2021","kcal/cap/d","0.69","E","Estimated value"
"FBS","Food Balances (2010-)","188","Costa Rica","664","Food supply (kcal/capita/day)","S2532","Cassava and products","2021","2021","kcal/cap/d","1.17","E","Estimated value"
"FBS","Food Balances (2010-)","188","Costa Rica","664","Food supply (kcal/capita/day)","S2531","Potatoes and products","2021","2021","kcal/cap/d","25.44","E","Estimated value"
"FBS","Food Balances (2010-)","188","Costa Rica","664","Food supply (kcal/capita/day)","S2533","Sweet potatoes","2021","2021","kcal/cap/d","0.04","E","Estimated value"
"FBS","Food Balances (2010-)","188","Costa Rica","664","Food supply (kcal/capita/day)","S2535","Yams","2021","2021","kcal/cap/d","1.63","E","Estimated value"
"FBS","Food Balances (2010-)","188","Costa Rica","664","Food supply (kcal/capita/day)","S2534","Roots, Other","2021","2021","kcal/cap/d","4.18","E","Estimated value"
"FBS","Food Balances (2010-)","188","Costa Rica","664","Food supply (kcal/capita/day)","S2536","Sugar cane","2021","2021","kcal/cap/d","0","E","Estimated value"
"FBS","Food Balances (2010-)","188","Costa Rica","664","Food supply (kcal/capita/day)","S2541","Sugar non-centrifugal","2021","2021","kcal/cap/d","33.91","E","Estimated value"
"FBS","Food Balances (2010-)","188","Costa Rica","664","Food supply (kcal/capita/day)","S2542","Sugar (Raw Equivalent)","2021","2021","kcal/cap/d","387.91","E","Estimated value"
"FBS","Food Balances (2010-)","188","Costa Rica","664","Food supply (kcal/capita/day)","S2543","Sweeteners, Other","2021","2021","kcal/cap/d","19.77","E","Estimated value"
"FBS","Food Balances (2010-)","188","Costa Rica","664","Food supply (kcal/capita/day)","S2745","Honey","2021","2021","kcal/cap/d","2.18","E","Estimated value"
"FBS","Food Balances (2010-)","188","Costa Rica","664","Food supply (kcal/capita/day)","S2546","Beans","2021","2021","kcal/cap/d","80.09","E","Estimated value"
"FBS","Food Balances (2010-)","188","Costa Rica","664","Food supply (kcal/capita/day)","S2547","Peas","2021","2021","kcal/cap/d","0.73","E","Estimated value"
"FBS","Food Balances (2010-)","188","Costa Rica","664","Food supply (kcal/capita/day)","S2549","Pulses, Other and products","2021","2021","kcal/cap/d","4.36","E","Estimated value"
"FBS","Food Balances (2010-)","188","Costa Rica","664","Food supply (kcal/capita/day)","S2551","Nuts and products","2021","2021","kcal/cap/d","9.71","E","Estimated value"
"FBS","Food Balances (2010-)","188","Costa Rica","664","Food supply (kcal/capita/day)","S2555","Soyabeans","2021","2021","kcal/cap/d","2.03","E","Estimated value"
"FBS","Food Balances (2010-)","188","Costa Rica","664","Food supply (kcal/capita/day)","S2552","Groundnuts","2021","2021","kcal/cap/d","14.33","E","Estimated value"
"FBS","Food Balances (2010-)","188","Costa Rica","664","Food supply (kcal/capita/day)","S2557","Sunflower seed","2021","2021","kcal/cap/d","1.69","E","Estimated value"
"FBS","Food Balances (2010-)","188","Costa Rica","664","Food supply (kcal/capita/day)","S2558","Rape and Mustardseed","2021","2021","kcal/cap/d","0.09","E","Estimated value"
"FBS","Food Balances (2010-)","188","Costa Rica","664","Food supply (kcal/capita/day)","S2560","Coconuts - Incl Copra","2021","2021","kcal/cap/d","1.98","E","Estimated value"
"FBS","Food Balances (2010-)","188","Costa Rica","664","Food supply (kcal/capita/day)","S2563","Olives (including preserved)","2021","2021","kcal/cap/d","0.46","E","Estimated value"
"FBS","Food Balances (2010-)","188","Costa Rica","664","Food supply (kcal/capita/day)","S2570","Oilcrops, Other","2021","2021","kcal/cap/d","0","E","Estimated value"
"FBS","Food Balances (2010-)","188","Costa Rica","664","Food supply (kcal/capita/day)","S2571","Soyabean Oil","2021","2021","kcal/cap/d","204.08","E","Estimated value"
"FBS","Food Balances (2010-)","188","Costa Rica","664","Food supply (kcal/capita/day)","S2572","Groundnut Oil","2021","2021","kcal/cap/d","0.01","E","Estimated value"
"FBS","Food Balances (2010-)","188","Costa Rica","664","Food supply (kcal/capita/day)","S2573","Sunflowerseed Oil","2021","2021","kcal/cap/d","36.24","E","Estimated value"
